2018-10-21T04:00:00, TRADE Closed, Profit Gross, -76.79, Net, -76.79
2018-10-22T07:00:00, TRADE Closed, Profit Gross, -2888.42, Net, -2888.42
2018-10-22T08:00:00, TRADE Closed, Profit Gross, -1696.81, Net, -1696.81
2018-10-22T09:00:00, TRADE Closed, Profit Gross, -2197.60, Net, -2197.60
2018-10-24T07:00:00, TRADE Closed, Profit Gross, -4898.68, Net, -4898.68
2018-10-25T03:00:00, TRADE Closed, Profit Gross, -8752.58, Net, -8752.58
2018-10-27T06:00:00, TRADE Closed, Profit Gross, -4100.50, Net, -4100.50
2018-10-27T18:00:00, TRADE Closed, Profit Gross, -2030.15, Net, -2030.15
2018-10-28T08:00:00, TRADE Closed, Profit Gross, -2001.60, Net, -2001.60
2018-10-28T13:00:00, TRADE Closed, Profit Gross, -4106.49, Net, -4106.49
2018-10-28T18:00:00, TRADE Closed, Profit Gross, -3386.66, Net, -3386.66
2018-10-28T21:00:00, TRADE Closed, Profit Gross, -1344.91, Net, -1344.91
2018-10-28T22:00:00, TRADE Closed, Profit Gross, -1034.32, Net, -1034.32
2018-10-29T00:00:00, TRADE Closed, Profit Gross, -3429.95, Net, -3429.95
2018-10-29T04:00:00, TRADE Closed, Profit Gross, -5024.07, Net, -5024.07
2018-10-29T10:00:00, TRADE Closed, Profit Gross, -3579.06, Net, -3579.06
2018-11-01T06:00:00, TRADE Closed, Profit Gross, -8389.29, Net, -8389.29
2018-11-02T13:00:00, TRADE Closed, Profit Gross, -23941.27, Net, -23941.27
2018-11-02T23:00:00, TRADE Closed, Profit Gross, -5135.42, Net, -5135.42
2018-11-03T15:00:00, TRADE Closed, Profit Gross, -6391.27, Net, -6391.27
2018-11-04T10:00:00, TRADE Closed, Profit Gross, -3954.80, Net, -3954.80
2018-11-04T14:00:00, TRADE Closed, Profit Gross, -2967.87, Net, -2967.87
2018-11-05T03:00:00, TRADE Closed, Profit Gross, -16730.29, Net, -16730.29
2018-11-08T20:00:00, TRADE Closed, Profit Gross, -3487.09, Net, -3487.09
2018-11-28T07:00:00, TRADE Closed, Profit Gross, 330294.11, Net, 330294.11
2018-11-30T14:00:00, TRADE Closed, Profit Gross, -5083.21, Net, -5083.21
2018-12-01T16:00:00, TRADE Closed, Profit Gross, -57605.76, Net, -57605.76
2018-12-03T04:00:00, TRADE Closed, Profit Gross, -55243.84, Net, -55243.84
2018-12-09T16:00:00, TRADE Closed, Profit Gross, 113475.08, Net, 113475.08
2018-12-10T19:00:00, TRADE Closed, Profit Gross, -24453.38, Net, -24453.38
2018-12-12T18:00:00, TRADE Closed, Profit Gross, -1738.03, Net, -1738.03
2018-12-13T04:00:00, TRADE Closed, Profit Gross, -23218.35, Net, -23218.35
2018-12-17T11:00:00, TRADE Closed, Profit Gross, 52714.74, Net, 52714.74
2018-12-22T04:00:00, TRADE Closed, Profit Gross, 220301.65, Net, 220301.65
2018-12-23T01:00:00, TRADE Closed, Profit Gross, -46306.43, Net, -46306.43
2018-12-25T03:00:00, TRADE Closed, Profit Gross, -46742.76, Net, -46742.76
2018-12-28T20:00:00, TRADE Closed, Profit Gross, -12139.14, Net, -12139.14
2018-12-30T06:00:00, TRADE Closed, Profit Gross, -28991.42, Net, -28991.42
2018-12-30T12:00:00, TRADE Closed, Profit Gross, -19585.60, Net, -19585.60
2018-12-31T04:00:00, TRADE Closed, Profit Gross, -22103.30, Net, -22103.30
2019-01-02T04:00:00, TRADE Closed, Profit Gross, -7807.14, Net, -7807.14
2019-01-04T01:00:00, TRADE Closed, Profit Gross, -1771.35, Net, -1771.35
2019-01-05T03:00:00, TRADE Closed, Profit Gross, -13422.74, Net, -13422.74
2019-01-06T05:00:00, TRADE Closed, Profit Gross, -12340.38, Net, -12340.38
2019-01-06T17:00:00, TRADE Closed, Profit Gross, -9180.81, Net, -9180.81
2019-01-10T08:00:00, TRADE Closed, Profit Gross, -1648.21, Net, -1648.21
2019-01-14T20:00:00, TRADE Closed, Profit Gross, 45978.14, Net, 45978.14
2019-01-15T23:00:00, TRADE Closed, Profit Gross, -30719.36, Net, -30719.36
2019-01-17T22:00:00, TRADE Closed, Profit Gross, -14621.85, Net, -14621.85
2019-01-18T19:00:00, TRADE Closed, Profit Gross, -7947.10, Net, -7947.10
2019-01-19T04:00:00, TRADE Closed, Profit Gross, -8641.15, Net, -8641.15
2019-01-20T15:00:00, TRADE Closed, Profit Gross, -23273.01, Net, -23273.01
2019-01-23T04:00:00, TRADE Closed, Profit Gross, -5317.32, Net, -5317.32
2019-01-23T09:00:00, TRADE Closed, Profit Gross, -5953.41, Net, -5953.41
2019-01-23T13:00:00, TRADE Closed, Profit Gross, -5879.51, Net, -5879.51
2019-01-23T21:00:00, TRADE Closed, Profit Gross, -6468.76, Net, -6468.76
2019-01-24T23:00:00, TRADE Closed, Profit Gross, -4341.13, Net, -4341.13
2019-01-25T12:00:00, TRADE Closed, Profit Gross, -8566.06, Net, -8566.06
2019-01-26T04:00:00, TRADE Closed, Profit Gross, -6075.78, Net, -6075.78
2019-01-27T08:00:00, TRADE Closed, Profit Gross, -471.50, Net, -471.50
2019-01-30T20:00:00, TRADE Closed, Profit Gross, 32945.41, Net, 32945.41
2019-01-31T13:00:00, TRADE Closed, Profit Gross, -11337.35, Net, -11337.35
2019-02-01T17:00:00, TRADE Closed, Profit Gross, -7807.67, Net, -7807.67
2019-02-03T18:00:00, TRADE Closed, Profit Gross, -584.67, Net, -584.67
2019-02-08T13:00:00, TRADE Closed, Profit Gross, 9821.75, Net, 9821.75
2019-02-12T07:00:00, TRADE Closed, Profit Gross, 61865.26, Net, 61865.26
2019-02-12T20:00:00, TRADE Closed, Profit Gross, -7862.76, Net, -7862.76
2019-02-13T15:00:00, TRADE Closed, Profit Gross, -9352.04, Net, -9352.04
2019-02-15T14:00:00, TRADE Closed, Profit Gross, -2033.76, Net, -2033.76
2019-02-15T16:00:00, TRADE Closed, Profit Gross, -6064.15, Net, -6064.15
2019-02-16T06:00:00, TRADE Closed, Profit Gross, -6387.79, Net, -6387.79
2019-02-17T17:00:00, TRADE Closed, Profit Gross, -4385.27, Net, -4385.27
2019-02-17T23:00:00, TRADE Closed, Profit Gross, -9271.80, Net, -9271.80
2019-02-24T18:00:00, TRADE Closed, Profit Gross, 49206.27, Net, 49206.27
2019-02-28T17:00:00, TRADE Closed, Profit Gross, -26452.59, Net, -26452.59
2019-02-28T21:00:00, TRADE Closed, Profit Gross, -11412.04, Net, -11412.04
2019-03-01T15:00:00, TRADE Closed, Profit Gross, -5290.07, Net, -5290.07
2019-03-02T08:00:00, TRADE Closed, Profit Gross, -3578.64, Net, -3578.64
2019-03-05T17:00:00, TRADE Closed, Profit Gross, -4448.38, Net, -4448.38
2019-03-11T12:00:00, TRADE Closed, Profit Gross, 14733.16, Net, 14733.16
2019-03-14T03:00:00, TRADE Closed, Profit Gross, -1936.05, Net, -1936.05
2019-03-14T05:00:00, TRADE Closed, Profit Gross, -6138.55, Net, -6138.55
2019-03-14T06:00:00, TRADE Closed, Profit Gross, -1439.80, Net, -1439.80
2019-03-14T08:00:00, TRADE Closed, Profit Gross, -1853.42, Net, -1853.42
2019-03-14T10:00:00, TRADE Closed, Profit Gross, -2100.74, Net, -2100.74
2019-03-21T18:00:00, TRADE Closed, Profit Gross, 27407.22, Net, 27407.22
2019-03-27T04:00:00, TRADE Closed, Profit Gross, -8639.91, Net, -8639.91
2019-04-11T11:00:00, TRADE Closed, Profit Gross, 310350.28, Net, 310350.28
2019-04-14T20:00:00, TRADE Closed, Profit Gross, -8123.22, Net, -8123.22
2019-04-15T22:00:00, TRADE Closed, Profit Gross, -21170.59, Net, -21170.59
2019-04-16T19:00:00, TRADE Closed, Profit Gross, -49733.82, Net, -49733.82
2019-04-21T15:00:00, TRADE Closed, Profit Gross, 17095.36, Net, 17095.36
2019-04-22T12:00:00, TRADE Closed, Profit Gross, -11400.51, Net, -11400.51
2019-04-24T21:00:00, TRADE Closed, Profit Gross, 36228.52, Net, 36228.52
2019-04-25T18:00:00, TRADE Closed, Profit Gross, -9415.74, Net, -9415.74
2019-04-26T00:00:00, TRADE Closed, Profit Gross, -76624.08, Net, -76624.08
2019-04-30T15:00:00, TRADE Closed, Profit Gross, -34046.98, Net, -34046.98
2019-05-06T08:00:00, TRADE Closed, Profit Gross, 89410.48, Net, 89410.48
2019-05-06T20:00:00, TRADE Closed, Profit Gross, -25337.68, Net, -25337.68
2019-05-16T22:00:00, TRADE Closed, Profit Gross, 476942.34, Net, 476942.34
2019-05-19T05:00:00, TRADE Closed, Profit Gross, -17104.30, Net, -17104.30
2019-05-22T15:00:00, TRADE Closed, Profit Gross, 4964.40, Net, 4964.40
2019-05-22T17:00:00, TRADE Closed, Profit Gross, -20648.68, Net, -20648.68
2019-05-22T23:00:00, TRADE Closed, Profit Gross, -55535.58, Net, -55535.58
2019-05-24T00:00:00, TRADE Closed, Profit Gross, -46811.31, Net, -46811.31
2019-05-30T23:00:00, TRADE Closed, Profit Gross, 75345.20, Net, 75345.20
2019-06-01T05:00:00, TRADE Closed, Profit Gross, -67050.94, Net, -67050.94
2019-06-03T11:00:00, TRADE Closed, Profit Gross, -12244.24, Net, -12244.24
2019-06-07T11:00:00, TRADE Closed, Profit Gross, 107568.43, Net, 107568.43
2019-06-08T20:00:00, TRADE Closed, Profit Gross, -25774.70, Net, -25774.70
2019-06-10T16:00:00, TRADE Closed, Profit Gross, -23597.34, Net, -23597.34
2019-06-11T16:00:00, TRADE Closed, Profit Gross, -34181.51, Net, -34181.51
2019-06-11T22:00:00, TRADE Closed, Profit Gross, -27298.81, Net, -27298.81
2019-06-27T17:00:00, TRADE Closed, Profit Gross, 812400.46, Net, 812400.46
2019-06-28T19:00:00, TRADE Closed, Profit Gross, -49541.41, Net, -49541.41
2019-06-29T11:00:00, TRADE Closed, Profit Gross, -46830.73, Net, -46830.73
2019-06-29T13:00:00, TRADE Closed, Profit Gross, -63336.98, Net, -63336.98
2019-06-30T12:00:00, TRADE Closed, Profit Gross, -75159.41, Net, -75159.41
2019-07-03T03:00:00, TRADE Closed, Profit Gross, 51309.41, Net, 51309.41
2019-07-05T06:00:00, TRADE Closed, Profit Gross, -28414.83, Net, -28414.83
2019-07-06T09:00:00, TRADE Closed, Profit Gross, -48761.76, Net, -48761.76
2019-07-07T02:00:00, TRADE Closed, Profit Gross, -40667.39, Net, -40667.39
2019-07-07T20:00:00, TRADE Closed, Profit Gross, -44126.31, Net, -44126.31
2019-07-10T23:00:00, TRADE Closed, Profit Gross, 103187.08, Net, 103187.08
2019-07-18T18:00:00, TRADE Closed, Profit Gross, 280573.50, Net, 280573.50
2019-07-21T19:00:00, TRADE Closed, Profit Gross, -25906.70, Net, -25906.70
2019-07-22T03:00:00, TRADE Closed, Profit Gross, -43857.23, Net, -43857.23
2019-07-22T16:00:00, TRADE Closed, Profit Gross, -79869.05, Net, -79869.05
2019-07-25T09:00:00, TRADE Closed, Profit Gross, 41642.95, Net, 41642.95
2019-07-25T22:00:00, TRADE Closed, Profit Gross, -48570.76, Net, -48570.76
2019-07-27T03:00:00, TRADE Closed, Profit Gross, -60184.91, Net, -60184.91
2019-07-27T14:00:00, TRADE Closed, Profit Gross, -160129.11, Net, -160129.11
2019-07-30T18:00:00, TRADE Closed, Profit Gross, -55157.63, Net, -55157.63
2019-08-08T22:00:00, TRADE Closed, Profit Gross, 432402.45, Net, 432402.45
2019-08-09T00:00:00, TRADE Closed, Profit Gross, -39229.50, Net, -39229.50
2019-08-10T13:00:00, TRADE Closed, Profit Gross, -73481.81, Net, -73481.81
2019-08-16T23:00:00, TRADE Closed, Profit Gross, 219927.95, Net, 219927.95
2019-08-17T19:00:00, TRADE Closed, Profit Gross, -77167.89, Net, -77167.89
2019-08-18T15:00:00, TRADE Closed, Profit Gross, -80544.30, Net, -80544.30
2019-08-21T06:00:00, TRADE Closed, Profit Gross, -48805.91, Net, -48805.91
2019-08-23T16:00:00, TRADE Closed, Profit Gross, -42432.55, Net, -42432.55
2019-08-24T11:00:00, TRADE Closed, Profit Gross, -100584.49, Net, -100584.49
2019-08-26T03:00:00, TRADE Closed, Profit Gross, -103301.16, Net, -103301.16
2019-08-27T09:00:00, TRADE Closed, Profit Gross, -55916.91, Net, -55916.91
2019-08-28T19:00:00, TRADE Closed, Profit Gross, -15951.76, Net, -15951.76
2019-08-28T20:00:00, TRADE Closed, Profit Gross, -100111.01, Net, -100111.01
2019-09-02T00:00:00, TRADE Closed, Profit Gross, -534.57, Net, -534.57
2019-09-06T23:00:00, TRADE Closed, Profit Gross, 133863.53, Net, 133863.53
2019-09-08T05:00:00, TRADE Closed, Profit Gross, -29819.25, Net, -29819.25
2019-09-08T14:00:00, TRADE Closed, Profit Gross, -22156.72, Net, -22156.72
2019-09-12T15:00:00, TRADE Closed, Profit Gross, 23431.04, Net, 23431.04
2019-09-16T14:00:00, TRADE Closed, Profit Gross, -20880.92, Net, -20880.92
2019-09-20T02:00:00, TRADE Closed, Profit Gross, -5062.68, Net, -5062.68
2019-09-21T07:00:00, TRADE Closed, Profit Gross, -26783.49, Net, -26783.49
2019-09-30T19:00:00, TRADE Closed, Profit Gross, 392025.88, Net, 392025.88
2019-10-03T16:00:00, TRADE Closed, Profit Gross, -29838.34, Net, -29838.34
2019-10-07T17:00:00, TRADE Closed, Profit Gross, -18795.66, Net, -18795.66
2019-10-11T14:00:00, TRADE Closed, Profit Gross, 47016.12, Net, 47016.12
2019-10-13T16:00:00, TRADE Closed, Profit Gross, -15907.62, Net, -15907.62
2019-10-15T19:00:00, TRADE Closed, Profit Gross, -66613.50, Net, -66613.50
2019-10-20T18:00:00, TRADE Closed, Profit Gross, 38593.72, Net, 38593.72
2019-10-23T01:00:00, TRADE Closed, Profit Gross, 369.35, Net, 369.35
2019-10-25T17:00:00, TRADE Closed, Profit Gross, -48388.36, Net, -48388.36
2019-10-30T08:00:00, TRADE Closed, Profit Gross, 302462.04, Net, 302462.04
2019-11-02T00:00:00, TRADE Closed, Profit Gross, 6374.79, Net, 6374.79
2019-11-03T14:00:00, TRADE Closed, Profit Gross, -9498.02, Net, -9498.02
2019-11-04T17:00:00, TRADE Closed, Profit Gross, -22502.13, Net, -22502.13
2019-11-07T07:00:00, TRADE Closed, Profit Gross, 11462.08, Net, 11462.08
2019-11-10T21:00:00, TRADE Closed, Profit Gross, 77444.42, Net, 77444.42
2019-11-11T10:00:00, TRADE Closed, Profit Gross, -73403.56, Net, -73403.56
2019-11-17T18:00:00, TRADE Closed, Profit Gross, 53200.69, Net, 53200.69
2019-11-18T05:00:00, TRADE Closed, Profit Gross, -27959.84, Net, -27959.84
2019-11-26T05:00:00, TRADE Closed, Profit Gross, 426990.51, Net, 426990.51
2019-11-27T11:00:00, TRADE Closed, Profit Gross, -100418.99, Net, -100418.99
2019-11-27T16:00:00, TRADE Closed, Profit Gross, -120590.32, Net, -120590.32
2019-11-30T22:00:00, TRADE Closed, Profit Gross, 103925.84, Net, 103925.84
2019-12-04T17:00:00, TRADE Closed, Profit Gross, 10459.73, Net, 10459.73
2019-12-05T01:00:00, TRADE Closed, Profit Gross, -100850.80, Net, -100850.80
2019-12-05T13:00:00, TRADE Closed, Profit Gross, -76960.69, Net, -76960.69
2019-12-09T10:00:00, TRADE Closed, Profit Gross, 15347.30, Net, 15347.30
2019-12-13T19:00:00, TRADE Closed, Profit Gross, 75499.43, Net, 75499.43
2019-12-14T10:00:00, TRADE Closed, Profit Gross, -26837.30, Net, -26837.30
