2018-10-16T14:00:00, Open, 6588.56000000, Close, 6613.13000000, EmaShort, 6608.62446220, EmaLong, 6488.30792350, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-16T15:00:00, Open, 6613.13000000, Close, 6590.61000000, EmaShort, 6605.85300648, EmaLong, 6491.66208994, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-16T16:00:00, Open, 6590.61000000, Close, 6598.80000000, EmaShort, 6604.76792856, EmaLong, 6495.17480830, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-16T17:00:00, Open, 6598.80000000, Close, 6575.69000000, EmaShort, 6600.29440109, EmaLong, 6497.81465065, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-16T18:00:00, Open, 6575.69000000, Close, 6576.54000000, EmaShort, 6596.63987785, EmaLong, 6500.39580965, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-16T19:00:00, Open, 6576.54000000, Close, 6590.05000000, EmaShort, 6595.62605048, EmaLong, 6503.33529130, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-16T20:00:00, Open, 6590.05000000, Close, 6576.81000000, EmaShort, 6592.73127349, EmaLong, 6505.74429814, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-16T21:00:00, Open, 6576.81000000, Close, 6586.52000000, EmaShort, 6591.77569295, EmaLong, 6508.39268181, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-16T22:00:00, Open, 6586.52000000, Close, 6585.04000000, EmaShort, 6590.73943250, EmaLong, 6510.90570864, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-16T23:00:00, Open, 6585.04000000, Close, 6585.15000000, EmaShort, 6589.87951980, EmaLong, 6513.33994770, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-17T00:00:00, Open, 6585.15000000, Close, 6596.11000000, EmaShort, 6590.83805522, EmaLong, 6516.05371990, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-17T01:00:00, Open, 6596.11000000, Close, 6583.99000000, EmaShort, 6589.78450826, EmaLong, 6518.28113892, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-17T02:00:00, Open, 6583.99000000, Close, 6587.59000000, EmaShort, 6589.44689161, EmaLong, 6520.55356060, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-17T03:00:00, Open, 6587.59000000, Close, 6586.70000000, EmaShort, 6589.02429290, EmaLong, 6522.72229632, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-17T04:00:00, Open, 6586.70000000, Close, 6589.44000000, EmaShort, 6589.08824784, EmaLong, 6524.90976201, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-17T05:00:00, Open, 6589.44000000, Close, 6594.40000000, EmaShort, 6589.90544048, EmaLong, 6527.18813047, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-17T06:00:00, Open, 6594.40000000, Close, 6591.27000000, EmaShort, 6590.11537271, EmaLong, 6529.28917537, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-17T07:00:00, Open, 6591.27000000, Close, 6576.10000000, EmaShort, 6587.95916153, EmaLong, 6530.82395651, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-17T08:00:00, Open, 6576.10000000, Close, 6575.16000000, EmaShort, 6585.99005975, EmaLong, 6532.27759728, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-17T09:00:00, Open, 6575.16000000, Close, 6559.57000000, EmaShort, 6581.92543517, EmaLong, 6533.17243015, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-17T10:00:00, Open, 6559.57000000, Close, 6540.71000000, EmaShort, 6575.58459899, EmaLong, 6533.41956359, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-17T11:00:00, Open, 6540.71000000, Close, 6528.31000000, EmaShort, 6568.31158376, EmaLong, 6533.25203692, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-17T12:00:00, Open, 6528.31000000, Close, 6538.23000000, EmaShort, 6563.68364780, EmaLong, 6533.41524882, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-17T13:00:00, Open, 6538.23000000, Close, 6534.33000000, EmaShort, 6559.16770199, EmaLong, 6533.44524066, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-17T14:00:00, Open, 6534.33000000, Close, 6517.99000000, EmaShort, 6552.83267091, EmaLong, 6532.93851146, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-17T15:00:00, Open, 6517.99000000, Close, 6548.43000000, EmaShort, 6552.15533692, EmaLong, 6533.44642912, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-17T16:00:00, Open, 6548.43000000, Close, 6552.08000000, EmaShort, 6552.14374663, EmaLong, 6534.05736587, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-17T17:00:00, Open, 6552.08000000, Close, 6545.12000000, EmaShort, 6551.06317022, EmaLong, 6534.42007518, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
2018-10-17T18:00:00, Open, 6545.12000000, Close, 6552.84000000, EmaShort, 6551.33652865, EmaLong, 6535.02400714, Cross, +0, Pos, 0.00000000, NAV, 0.00000000, Cash, 1000000.00000000, Port, 1000000.00000000
